FLOW_IN,ALL_FLOW_OUT
400,385.2
400,385.2
400,385.2
400,381.6
400,385.2
400,385.2
400,385.2
400,385.2
400,381.6
400,381.6
500,482.4
500,478.8
500,482.4
500,478.8
500,482.4
500,478.8
500,482.4
500,478.8
500,478.8
500,478.8
600,572.4
600,576.0
600,576.0
600,568.8
600,579.6
600,572.4
600,572.4
600,572.4
600,572.4
600,572.4
700,669.6
700,666.0
700,669.6
700,669.6
700,666.0
700,669.6
700,669.6
700,669.6
700,666.0
700,666.0
800,766.8
800,763.2
800,766.8
800,766.8
800,759.6
800,763.2
800,766.8
800,763.2
800,763.2
800,766.8
900,856.8
900,864.0
900,860.4
900,860.4
900,856.8
900,864.0
900,860.4
900,856.8
900,864.0
900,864.0
1000,950.4
1000,957.6
1000,954.0
1000,950.4
1000,957.6
1000,950.4
1000,957.6
1000,954.0
1000,954.0
1000,954.0
1100,1051.2
1100,1051.2
1100,1047.6
1100,1047.6
1100,1044.0
1100,1051.2
1100,1051.2
1100,1044.0
1100,1044.0
1100,1051.2
1200,1144.8
1200,1141.2
1200,1144.8
1200,1141.2
1200,1148.4
1200,1141.2
1200,1148.4
1200,1144.8
1200,1144.8
1200,1141.2
1300,1234.8
1300,1238.4
1300,1238.4
1300,1242.0
1300,1234.8
1300,1245.6
1300,1234.8
1300,1238.4
1300,1234.8
1300,1238.4
1400,1339.2
1400,1335.6
1400,1332.0
1400,1335.6
1400,1332.0
1400,1332.0
1400,1332.0
1400,1335.6
1400,1332.0
1400,1332.0
1500,1436.4
1500,1429.2
1500,1425.6
1500,1425.6
1500,1425.6
1500,1425.6
1500,1414.8
1500,1429.2
1500,1422.0
1500,1425.6
1600,1522.8
1600,1519.2
1600,1519.2
1600,1522.8
1600,1526.4
1600,1526.4
1600,1519.2
1600,1522.8
1600,1515.6
1600,1522.8
1700,1616.4
1700,1609.2
1700,1620.0
1700,1620.0
1700,1616.4
1700,1612.8
1700,1612.8
1700,1620.0
1700,1609.2
1700,1616.4
1800,1710.0
1800,1713.6
1800,1710.0
1800,1706.4
1800,1699.2
1800,1710.0
1800,1710.0
1800,1710.0
1800,1710.0
1800,1710.0
1900,1803.6
1900,1803.6
1900,1807.2
1900,1807.2
1900,1803.6
1900,1803.6
1900,1803.6
1900,1803.6
1900,1800.0
1900,1792.8
2000,1792.8
2000,1724.4
2000,1897.2
2000,1897.2
2000,1893.6
2000,1890.0
2000,1893.6
2000,1893.6
2000,1897.2
2000,1893.6
2100,1724.4
2100,1652.4
2100,1724.4
2100,1980.0
2100,1980.0
2100,1818.0
2100,1933.2
2100,1908.0
2100,1861.2
2100,1508.4
2200,1483.2
2200,1501.2
2200,1472.4
2200,1468.8
2200,1458.0
2200,1530.0
2200,1508.4
2200,1533.6
2200,1591.2
2200,1468.8
2300,1468.8
2300,1472.4
2300,1472.4
2300,1494.0
2300,1483.2
2300,1465.2
2300,1479.6
2300,1465.2
2300,1465.2
2300,1486.8
2400,1483.2
2400,1476.0
2400,1454.4
2400,1494.0
2400,1454.4
2400,1476.0
2400,1468.8
2400,1486.8
2400,1494.0
2400,1476.0
2500,1465.2
2500,1461.6
2500,1465.2
2500,1483.2
2500,1458.0
2500,1472.4
2500,1440.0
2500,1465.2
2500,1476.0
2500,1458.0
2600,1465.2
2600,1497.6
2600,1483.2
2600,1476.0
2600,1472.4
2600,1472.4
2600,1443.6
2600,1465.2
2600,1458.0
2600,1450.8
2700,1458.0
2700,1450.8
2700,1447.2
2700,1454.4
2700,1432.8
2700,1443.6
2700,1436.4
2700,1432.8
2700,1454.4
2700,1436.4
2800,1458.0
2800,1447.2
2800,1432.8
2800,1432.8
2800,1440.0
2800,1440.0
2800,1443.6
2800,1443.6
2800,1436.4
2800,1432.8
2900,1468.8
2900,1447.2
2900,1447.2
2900,1429.2
2900,1436.4
2900,1443.6
2900,1432.8
2900,1447.2
2900,1443.6
2900,1447.2
3000,1450.8
3000,1447.2
3000,1440.0
3000,1454.4
3000,1432.8
3000,1450.8
3000,1429.2
3000,1440.0
3000,1447.2
3000,1447.2
3100,1461.6
3100,1429.2
3100,1443.6
3100,1447.2
3100,1440.0
3100,1447.2
3100,1436.4
3100,1447.2
3100,1450.8
3100,1432.8
3200,1465.2
3200,1440.0
3200,1436.4
3200,1447.2
3200,1440.0
3200,1440.0
3200,1447.2
3200,1436.4
3200,1458.0
3200,1450.8
3300,1454.4
3300,1454.4
3300,1450.8
3300,1440.0
3300,1432.8
3300,1443.6
3300,1436.4
3300,1447.2
3300,1443.6
3300,1443.6
3400,1461.6
3400,1443.6
3400,1454.4
3400,1447.2
3400,1440.0
3400,1443.6
3400,1440.0
3400,1447.2
3400,1443.6
3400,1443.6
